iter	Passed	Remaining
0	140	140163
1	144	72198
2	148	49496
3	153	38116
4	156	31162
5	159	26491
6	162	23034
7	165	20547
8	169	18609
9	172	17122
10	176	15893
11	180	14857
12	184	13970
13	187	13220
14	191	12592
15	195	12052
16	200	11602
17	204	11174
18	209	10832
19	214	10532
20	219	10243
21	225	10042
22	230	9798
23	235	9581
24	241	9420
25	246	9229
26	250	9025
27	255	8858
28	260	8713
29	265	8579
30	270	8459
31	275	8333
32	280	8209
33	284	8090
34	291	8032
35	296	7944
36	301	7835
37	305	7740
38	309	7632
39	313	7528
40	317	7432
41	321	7341
42	325	7248
43	329	7159
44	333	7080
45	337	6999
46	341	6924
47	345	6851
48	349	6778
49	352	6706
50	356	6635
51	360	6569
52	364	6507
53	367	6445
54	371	6386
55	375	6329
56	379	6275
57	383	6222
58	387	6176
59	391	6127
60	396	6095
61	401	6076
62	404	6023
63	408	5971
64	413	5944
65	417	5911
66	422	5879
67	426	5847
68	431	5827
69	436	5798
70	440	5765
71	445	5741
72	450	5715
73	454	5691
74	459	5664
75	464	5644
76	469	5625
77	473	5601
78	479	5592
79	484	5575
80	489	5555
81	495	5548
82	499	5519
83	503	5491
84	507	5465
85	511	5441
86	515	5410
87	519	5382
88	523	5357
89	527	5336
90	531	5308
91	535	5280
92	538	5255
93	542	5231
94	546	5209
95	550	5182
96	554	5160
97	558	5137
98	561	5113
99	565	5089
100	569	5067
101	572	5044
102	576	5023
103	580	5002
104	583	4973
105	587	4952
106	590	4930
107	594	4911
108	598	4893
109	602	4875
110	607	4863
111	611	4848
112	616	4837
113	621	4827
114	625	4814
115	630	4801
116	634	4790
117	640	4787
118	645	4776
119	649	4763
120	655	4761
121	659	4747
122	664	4739
123	669	4732
124	674	4719
125	678	4709
126	683	4698
127	688	4690
128	693	4680
129	697	4666
130	701	4655
131	705	4639
132	709	4623
133	712	4606
134	716	4590
135	720	4575
136	723	4559
137	727	4543
138	730	4526
139	734	4511
140	738	4496
141	741	4482
142	745	4468
143	749	4456
144	753	4441
145	757	4428
146	760	4414
147	764	4400
148	767	4386
149	771	4372
150	775	4358
151	778	4343
152	782	4329
153	785	4315
154	789	4303
155	793	4292
156	797	4280
157	801	4268
158	805	4259
159	808	4246
160	813	4238
161	817	4231
162	822	4221
163	826	4212
164	832	4211
165	836	4203
166	841	4195
167	846	4192
168	851	4187
169	855	4178
170	861	4174
171	865	4167
172	869	4158
173	873	4147
174	878	4143
175	882	4132
176	887	4124
177	890	4114
178	897	4117
179	901	4108
180	905	4095
181	909	4087
182	912	4076
183	916	4064
184	920	4052
185	923	4042
186	927	4034
187	931	4022
188	934	4010
189	938	3999
190	941	3988
191	945	3977
192	948	3966
193	952	3955
194	956	3947
195	959	3936
196	963	3925
197	966	3913
198	969	3903
199	973	3893
200	976	3882
201	980	3871
202	983	3860
203	986	3851
204	991	3843
205	995	3835
206	999	3829
207	1004	3823
208	1008	3816
209	1012	3807
210	1017	3803
211	1021	3797
212	1026	3791
213	1030	3783
214	1033	3774
215	1039	3772
216	1043	3765
217	1047	3758
218	1052	3753
219	1057	3749
220	1060	3738
221	1063	3726
222	1067	3717
223	1071	3712
224	1075	3704
225	1079	3697
226	1083	3690
227	1087	3683
228	1091	3675
229	1094	3665
230	1098	3655
231	1102	3648
232	1105	3639
233	1108	3630
234	1112	3621
235	1115	3612
236	1119	3603
237	1123	3597
238	1127	3588
239	1130	3580
240	1134	3572
241	1137	3563
242	1141	3555
243	1144	3547
244	1148	3539
245	1152	3532
246	1156	3525
247	1160	3518
248	1164	3511
249	1168	3504
250	1171	3496
251	1175	3489
252	1179	3482
253	1183	3475
254	1188	3470
255	1191	3463
256	1197	3462
257	1201	3456
258	1206	3451
259	1210	3445
260	1215	3441
261	1219	3435
262	1223	3429
263	1228	3424
264	1232	3419
265	1237	3414
266	1241	3409
267	1247	3408
268	1251	3401
269	1255	3394
270	1260	3390
271	1265	3387
272	1269	3381
273	1274	3376
274	1279	3372
275	1283	3367
276	1287	3361
277	1291	3354
278	1295	3348
279	1299	3341
280	1302	3333
281	1306	3327
282	1311	3323
283	1315	3316
284	1319	3309
285	1322	3302
286	1326	3296
287	1330	3289
288	1334	3283
289	1337	3275
290	1341	3268
291	1345	3261
292	1349	3255
293	1352	3248
294	1356	3242
295	1360	3235
296	1364	3229
297	1368	3222
298	1372	3217
299	1376	3210
300	1380	3205
301	1384	3200
302	1389	3195
303	1394	3191
304	1399	3188
305	1405	3186
306	1409	3181
307	1413	3175
308	1417	3169
309	1422	3167
310	1427	3161
311	1431	3156
312	1436	3151
313	1440	3146
314	1444	3140
315	1447	3134
316	1452	3129
317	1457	3124
318	1461	3120
319	1465	3114
320	1471	3112
321	1475	3107
322	1479	3101
323	1483	3095
324	1487	3089
325	1490	3082
326	1494	3075
327	1498	3069
328	1502	3064
329	1506	3058
330	1510	3052
331	1514	3046
332	1518	3040
333	1521	3034
334	1525	3028
335	1529	3022
336	1533	3016
337	1536	3010
338	1540	3003
339	1544	2997
340	1548	2991
341	1551	2985
342	1555	2980
343	1559	2974
344	1563	2969
345	1567	2963
346	1571	2957
347	1575	2952
348	1580	2947
349	1584	2943
350	1588	2937
351	1593	2933
352	1598	2928
353	1601	2923
354	1605	2917
355	1610	2913
356	1615	2910
357	1620	2905
358	1624	2901
359	1630	2898
360	1635	2894
361	1639	2890
362	1646	2890
363	1651	2886
364	1657	2882
365	1662	2880
366	1667	2876
367	1672	2872
368	1678	2870
369	1682	2865
370	1687	2860
371	1692	2857
372	1696	2852
373	1701	2848
374	1705	2843
375	1710	2838
376	1715	2834
377	1719	2829
378	1723	2824
379	1727	2819
380	1732	2814
381	1736	2809
382	1740	2804
383	1745	2799
384	1749	2794
385	1753	2789
386	1758	2784
387	1762	2779
388	1766	2774
389	1770	2769
390	1774	2764
391	1779	2760
392	1785	2757
393	1789	2752
394	1794	2748
395	1799	2744
396	1804	2740
397	1809	2736
398	1814	2732
399	1818	2728
400	1824	2725
401	1828	2720
402	1833	2715
403	1839	2713
404	1844	2709
405	1849	2705
406	1855	2702
407	1859	2697
408	1863	2692
409	1870	2691
410	1875	2687
411	1880	2683
412	1885	2679
413	1889	2675
414	1894	2670
415	1899	2666
416	1904	2663
417	1909	2658
418	1914	2654
419	1918	2649
420	1923	2645
421	1927	2640
422	1932	2635
423	1936	2631
424	1941	2626
425	1945	2621
426	1949	2616
427	1954	2611
428	1959	2607
429	1963	2602
430	1967	2597
431	1971	2592
432	1976	2588
433	1981	2583
434	1986	2579
435	1991	2575
436	1996	2571
437	2000	2567
438	2005	2563
439	2010	2559
440	2017	2556
441	2022	2553
442	2027	2548
443	2032	2544
444	2037	2540
445	2042	2536
446	2047	2533
447	2052	2529
448	2058	2525
449	2064	2522
450	2069	2518
451	2074	2514
452	2080	2512
453	2085	2507
454	2089	2503
455	2095	2499
456	2100	2495
457	2104	2490
458	2109	2486
459	2114	2482
460	2120	2478
461	2125	2474
462	2130	2470
463	2135	2466
464	2140	2462
465	2145	2458
466	2149	2453
467	2154	2449
468	2160	2445
469	2165	2441
470	2170	2437
471	2175	2433
472	2180	2429
473	2185	2425
474	2191	2422
475	2196	2418
476	2202	2415
477	2208	2412
478	2213	2408
479	2219	2404
480	2225	2401
481	2231	2398
482	2237	2394
483	2242	2391
484	2248	2387
485	2255	2385
486	2260	2381
487	2267	2378
488	2273	2376
489	2279	2372
490	2284	2368
491	2290	2364
492	2295	2361
493	2301	2357
494	2306	2353
495	2311	2349
496	2316	2344
497	2321	2340
498	2326	2336
499	2331	2331
500	2336	2327
501	2341	2323
502	2346	2318
503	2351	2314
504	2356	2310
505	2361	2305
506	2366	2301
507	2371	2297
508	2377	2293
509	2384	2290
510	2390	2287
511	2399	2286
512	2405	2283
513	2412	2281
514	2418	2277
515	2424	2274
516	2430	2271
517	2436	2267
518	2441	2262
519	2448	2260
520	2454	2256
521	2460	2253
522	2466	2249
523	2472	2245
524	2478	2242
525	2483	2237
526	2488	2233
527	2494	2229
528	2500	2225
529	2505	2221
530	2510	2217
531	2516	2213
532	2521	2209
533	2526	2205
534	2532	2200
535	2537	2196
536	2542	2192
537	2547	2187
538	2553	2183
539	2558	2179
540	2563	2175
541	2568	2170
542	2573	2166
543	2579	2162
544	2585	2158
545	2590	2154
546	2596	2150
547	2602	2146
548	2609	2143
549	2615	2139
550	2621	2136
551	2628	2133
552	2634	2129
553	2640	2125
554	2646	2121
555	2652	2117
556	2658	2114
557	2664	2110
558	2670	2106
559	2677	2103
560	2683	2099
561	2689	2095
562	2694	2091
563	2699	2086
564	2705	2082
565	2710	2078
566	2715	2073
567	2720	2069
568	2725	2064
569	2730	2060
570	2735	2055
571	2740	2050
572	2745	2046
573	2750	2041
574	2755	2036
575	2760	2031
576	2765	2027
577	2770	2022
578	2775	2018
579	2781	2014
580	2787	2010
581	2792	2005
582	2798	2001
583	2804	1997
584	2809	1993
585	2815	1989
586	2821	1985
587	2826	1980
588	2833	1977
589	2839	1972
590	2844	1968
591	2850	1964
592	2856	1960
593	2862	1956
594	2869	1952
595	2875	1949
596	2880	1944
597	2885	1939
598	2890	1935
599	2896	1930
600	2901	1926
601	2906	1921
602	2912	1917
603	2917	1912
604	2922	1907
605	2927	1903
606	2931	1898
607	2937	1893
608	2942	1888
609	2946	1884
610	2951	1879
611	2956	1874
612	2961	1869
613	2966	1864
614	2972	1860
615	2977	1856
616	2983	1852
617	2989	1847
618	2995	1843
619	3001	1839
620	3007	1835
621	3013	1831
622	3018	1826
623	3025	1823
624	3031	1818
625	3037	1814
626	3044	1811
627	3050	1806
628	3056	1803
629	3062	1798
630	3068	1794
631	3075	1790
632	3080	1786
633	3086	1781
634	3092	1777
635	3097	1773
636	3102	1768
637	3108	1763
638	3113	1759
639	3119	1754
640	3124	1749
641	3129	1745
642	3134	1740
643	3140	1735
644	3145	1731
645	3150	1726
646	3156	1722
647	3161	1717
648	3167	1713
649	3173	1708
650	3179	1704
651	3185	1700
652	3192	1696
653	3198	1692
654	3205	1688
655	3211	1683
656	3217	1679
657	3223	1675
658	3229	1671
659	3236	1667
660	3242	1662
661	3248	1658
662	3254	1654
663	3261	1650
664	3267	1646
665	3273	1641
666	3278	1636
667	3285	1632
668	3290	1628
669	3296	1623
670	3301	1618
671	3307	1614
672	3312	1609
673	3318	1604
674	3323	1600
675	3329	1595
676	3334	1590
677	3340	1586
678	3345	1581
679	3350	1576
680	3356	1572
681	3361	1567
682	3367	1562
683	3373	1558
684	3379	1554
685	3385	1549
686	3391	1545
687	3397	1540
688	3404	1536
689	3413	1533
690	3419	1529
691	3427	1525
692	3433	1521
693	3439	1516
694	3446	1512
695	3452	1507
696	3459	1503
697	3465	1499
698	3471	1494
699	3477	1490
700	3483	1485
701	3488	1480
702	3493	1476
703	3499	1471
704	3504	1466
705	3509	1461
706	3515	1456
707	3520	1452
708	3526	1447
709	3531	1442
710	3537	1437
711	3542	1433
712	3548	1428
713	3553	1423
714	3559	1418
715	3564	1413
716	3570	1409
717	3576	1404
718	3582	1400
719	3588	1395
720	3594	1390
721	3599	1386
722	3606	1381
723	3612	1377
724	3618	1372
725	3624	1368
726	3631	1363
727	3637	1359
728	3643	1354
729	3650	1350
730	3656	1345
731	3662	1340
732	3669	1336
733	3675	1332
734	3681	1327
735	3687	1322
736	3693	1317
737	3698	1313
738	3703	1308
739	3709	1303
740	3714	1298
741	3720	1293
742	3725	1288
743	3731	1283
744	3736	1278
745	3741	1273
746	3747	1269
747	3752	1264
748	3757	1259
749	3762	1254
750	3768	1249
751	3774	1244
752	3780	1240
753	3785	1235
754	3791	1230
755	3798	1226
756	3804	1221
757	3810	1216
758	3816	1211
759	3822	1207
760	3828	1202
761	3834	1197
762	3839	1192
763	3846	1188
764	3851	1183
765	3858	1178
766	3863	1173
767	3869	1168
768	3874	1163
769	3879	1158
770	3885	1154
771	3890	1149
772	3896	1144
773	3901	1139
774	3906	1134
775	3911	1129
776	3917	1124
777	3922	1119
778	3927	1114
779	3932	1109
780	3937	1104
781	3943	1099
782	3948	1094
783	3953	1089
784	3959	1084
785	3964	1079
786	3970	1074
787	3976	1069
788	3982	1064
789	3989	1060
790	3995	1055
791	4000	1050
792	4007	1046
793	4014	1041
794	4022	1037
795	4028	1032
796	4034	1027
797	4040	1022
798	4046	1017
799	4052	1013
800	4058	1008
801	4064	1003
802	4070	998
803	4075	993
804	4081	988
805	4086	983
806	4092	978
807	4097	973
808	4103	968
809	4108	963
810	4114	958
811	4119	953
812	4124	948
813	4130	943
814	4135	938
815	4140	933
816	4145	928
817	4151	923
